URL,关闭时间,创建时间,创建者,序号,更新时间,标签,标签数,标题,正文长度,正文预览,状态,类型,编号,获取时间,评论数,页码
https://github.com/microsoft/vscode/issues/290373,,2026-01-26T12:04:27Z,felipesantos2,1,2026-01-26T12:07:26Z,,0,"I removed the command center, but it is returning. (vscode insiders)",3556,"
Type: <b>Bug</b>

--

I removed the command center, but it is returning.
I disabled them a few time...",open,Issue,290373,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290370,,2026-01-26T11:53:29Z,AdamWr,2,2026-01-26T12:01:48Z,,0,Text editor - suggestions do not work in Insiders,2113,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: ht...",open,Issue,290370,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290367,,2026-01-26T11:28:13Z,HusterRC,3,2026-01-26T11:29:37Z,"info-needed, triage-needed, ai-translated",3,无法加载GitHub Copilot chat,2370,"
Type: <b>Bug</b>

出现3个未捕获的错误

Extension version: 0.36.2
VS Code version: Code 1.108.1 (Universal) (...",open,Issue,290367,2026-01-26T20:07:41.045897,3,1
https://github.com/microsoft/vscode/issues/290363,,2026-01-26T11:12:05Z,jrieken,4,2026-01-26T11:12:42Z,,0,Using a prompt changes selected tools for too long,1126,"* have a prompt like as below (it defines tools)
* have a normal agent session
* use the `review` co...",open,Issue,290363,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290357,,2026-01-26T10:38:41Z,jrieken,5,2026-01-26T10:54:30Z,,0,"Drop down says ""Implement"" instead of Agent",243,"* start in plan mode
* select Implement
* :bug: the mode dropdown shows Implement, not Agent (as in ...",open,Issue,290357,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290356,,2026-01-26T10:38:12Z,witbrock,6,2026-01-26T10:39:55Z,,0,Hard tool limit (128) blocks agent mode when multiple MCP servers are enabled — agent should manage its own tool context,2030,"- Copilot Chat Extension Version: 0.37.2026012601
- VS Code Version: 1.109.0-insider (abb70fbc79435e...",open,Issue,290356,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290355,,2026-01-26T10:36:05Z,MShayOffice,7,2026-01-26T10:37:23Z,new release,1,"Containers Context Menu - ""Ask Copilot"" option when AI features are disabled",2547,"
Type: <b>Bug</b>

VSC 1.108.2 running on Windows 10.
""Disable AI Features"" option is checked. No ch...",open,Issue,290355,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290354,,2026-01-26T10:27:30Z,senhalil,8,2026-01-26T11:11:55Z,,0,Git - single line diff in the inline git blame box,976,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,290354,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290352,,2026-01-26T10:19:40Z,ntrogh,9,2026-01-26T11:20:55Z,"bug, confirmed, chat-agents-view",3,Filter agent sessions resets when selecting additional session state filter,2954,"
Type: <b>Bug</b>

1. Open Chat view
1. Update the list of session filters (e.g. uncheck Completed)
...",open,Issue,290352,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290351,,2026-01-26T10:16:23Z,kenzoviski,10,2026-01-26T11:11:58Z,new release,1,Test Explorer not picking tests from C# project,1586,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: ht...",open,Issue,290351,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290350,,2026-01-26T10:04:35Z,chsch95,11,2026-01-26T11:19:41Z,new release,1,Chat not possible with GitHub Copilot,2550,"
Type: <b>Bug</b>

""Chat took too long to get ready. Please ensure you are signed in to GitHub and t...",open,Issue,290350,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290347,,2026-01-26T09:48:12Z,the-rajabraza,12,2026-01-26T09:49:51Z,"info-needed, triage-needed, new release",3,Summarizing conversation history...,1989,"
Type: <b>Bug</b>

keep going for summary

Extension version: 0.36.1
VS Code version: Code 1.108.2 (...",open,Issue,290347,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290346,,2026-01-26T09:35:37Z,jrieken,13,2026-01-26T11:02:28Z,info-needed,1,Unread state seems flaky and random,270,"Restarted insiders to this unread state. I am very certain I had all sessions read/worked on, esp lo...",open,Issue,290346,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290343,,2026-01-26T09:10:19Z,Ebola-Chan-bot,14,2026-01-26T09:14:25Z,,0,Cannot Add MCP Server: model not supported,6763,"
Type: <b>Bug</b>

MCP: Add Server\NPM package\@fangjunjie/ssh-mcp-server
In output of GitHub Copilo...",open,Issue,290343,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290342,,2026-01-26T09:04:11Z,CoolRainLy,15,2026-01-26T09:11:23Z,"feature-request, chat-agent-editing",2,"Support atomic undo for ""Accept All"" Copilot changes (like Cursor IDE)",1179,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,290342,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290340,,2026-01-26T08:48:42Z,wzh5550123,16,2026-01-26T08:50:16Z,new release,1,Checking conversation history all the time,2098,"
Type: <b>Bug</b>

Summarizing historical dialogues without even changing the context, summarizing a...",open,Issue,290340,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290337,,2026-01-26T08:25:08Z,Onedaytalk,17,2026-01-26T09:18:39Z,new release,1,My terminal is broken...,2240,"
Type: <b>Bug</b>

My terminal is not displaying properly. First, it doesn't show the path when I en...",open,Issue,290337,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290335,,2026-01-26T07:52:16Z,jacopoCorvina,18,2026-01-26T08:16:20Z,triage-needed,1,Run Debug Watch: Fail!,797,"
Type: <b>Bug</b>

code: 'EADDRINUSE',
errno: -98,
syscall: 'listen',
address: '::',
port: ....

Sea...",open,Issue,290335,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290334,,2026-01-26T07:38:40Z,yubaoquan,19,2026-01-26T08:16:25Z,new release,1,Default terminal suddenly change to powershell,2940,"
Type: <b>Bug</b>

My default terminal was always git-bash, bug today, it changed to power shell. An...",open,Issue,290334,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290333,,2026-01-26T07:26:15Z,adithyan-r-1244,20,2026-01-26T07:27:32Z,"info-needed, triage-needed, new release",3,with local model replace_string_in_file tool failed,272,"
Type: <b>Bug</b>

Modle used ministral-3:8b with ollama

Extension version: 0.36.2
VS Code version:...",open,Issue,290333,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290332,,2026-01-26T07:26:13Z,adithyan-r-1244,21,2026-01-26T07:27:32Z,"info-needed, triage-needed, new release",3,with local model replace_string_in_file tool failed,272,"
Type: <b>Bug</b>

Modle used ministral-3:8b with ollama

Extension version: 0.36.2
VS Code version:...",open,Issue,290332,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290331,,2026-01-26T07:26:13Z,adithyan-r-1244,22,2026-01-26T07:27:34Z,"info-needed, triage-needed, new release",3,with local model replace_string_in_file tool failed,272,"
Type: <b>Bug</b>

Modle used ministral-3:8b with ollama

Extension version: 0.36.2
VS Code version:...",open,Issue,290331,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290328,,2026-01-26T06:31:29Z,bpasero,23,2026-01-26T06:31:48Z,freeze-slow-crash-leak,1,Bad use of `ResourcePool`?,727,"There are instances of `ResourcePool` where from the factory method, disposables are registered to t...",open,Issue,290328,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290327,,2026-01-26T06:28:12Z,bpasero,24,2026-01-26T06:28:12Z,,0,Lifecycle of `ChatEditingModifiedDocumentEntry` and `ChatEditingModifiedNotebookEntry`,307,"Found an error telemetry report about many undisposed of these:

https://github.com/microsoft/vscode...",open,Issue,290327,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290326,,2026-01-26T06:22:30Z,bpasero,25,2026-01-26T06:43:19Z,"bug, error-telemetry",2,[Unhandled Error] Cannot read properties of undefined (reading 'toString'),2412,"Issue created from VS Code Errors Analysis Dashboard

## Error Bucket
`75ca6d07-96c8-0184-3025-06909...",open,Issue,290326,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290325,,2026-01-26T06:21:55Z,TylerLeonhardt,26,2026-01-26T06:22:50Z,,0,`McpServerDefinition`'s coming from the workspace should resolve magic variables like `$(workspaceFolder}`,1784,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: ht...",open,Issue,290325,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290324,,2026-01-26T06:19:59Z,bpasero,27,2026-01-26T06:43:08Z,"bug, error-telemetry",2,[Unhandled Error] Cannot read properties of null (reading 'getLineContent'),2521,"Issue created from VS Code Errors Analysis Dashboard

## Error Bucket
`11892835-dd4a-f1d9-8ba1-9b76c...",open,Issue,290324,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290323,,2026-01-26T06:19:04Z,bpasero,28,2026-01-26T06:42:54Z,"bug, error-telemetry",2,[Unhandled Error] Uncaught TypeError: Cannot read properties of undefined (reading 'substring'),1985,"Issue created from VS Code Errors Analysis Dashboard

## Error Bucket
`b9611c44-28d9-0ca9-14b1-990bf...",open,Issue,290323,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290321,,2026-01-26T05:56:04Z,kouiso,29,2026-01-26T09:37:40Z,"info-needed, triage-needed, ai-translated",3,複数のworkspace開いたwindowでcopilotに指示をかけると全く指示を効かなくなる。,3195,"
Type: <b>Bug</b>

複数リポジトリをworkspace開いたwindowでcopilotに指示をかけると全く指示が効かなくなる。

Extension version: 0.36.2...",open,Issue,290321,2026-01-26T20:07:41.045897,4,1
https://github.com/microsoft/vscode/issues/290319,,2026-01-26T05:45:24Z,rwoll,30,2026-01-26T05:47:23Z,,0,askQuestion tool enabled in YOLO mode,131,"askQuestion tool is being triggered in YOLO mode in insiders. In YOLO mode, I would not expect to ne...",open,Issue,290319,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290317,,2026-01-26T05:11:18Z,digitarald,31,2026-01-26T05:12:26Z,,0,toolSearchTool.enabled breaks askQuestions in Plan agent,1680,"
Type: <b>Bug</b>

Updated Plan agent mentions askQuestions across its prompt, but with `toolSearchT...",open,Issue,290317,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290316,,2026-01-26T04:54:24Z,alokssckumar,32,2026-01-26T04:55:41Z,"info-needed, triage-needed",2,test,3223,"
Type: <b>Bug</b>

•	Create a function called fahrToCelsius in functions.py
•	The function should ha...",open,Issue,290316,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290315,,2026-01-26T03:43:04Z,srsherra,33,2026-01-26T03:46:59Z,"triage-needed, new release",2,Undo is not working,1945,"
Type: <b>Bug</b>

Undo is not working

Extension version: 0.36.2
VS Code version: Code 1.108.2 (c9d...",open,Issue,290315,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290314,,2026-01-26T03:37:17Z,MeditatorLiu,34,2026-01-26T11:30:52Z,"triage-needed, new release",2,Access token missing for Azure openai,2159,"
Type: <b>Bug</b>

I can use custom models with endpoint and access token on earlier versions, but t...",open,Issue,290314,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290311,,2026-01-26T03:08:32Z,yvesJotres,35,2026-01-26T03:47:01Z,new release,1,Loss of files,1994,"
Type: <b>Bug</b>

Mistakenly Deleting all Safetensors file, when i ask to reorganized files

Extens...",open,Issue,290311,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290307,,2026-01-26T01:55:12Z,jamesmontemagno,36,2026-01-26T02:59:38Z,triage-needed,1,Mark all sessions as read,139,"I love the new UI and updates in Insiders, but add a ""Mark all as read"" as i have a bunch of cli stu...",open,Issue,290307,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290304,,2026-01-26T00:37:20Z,RoyceEColeman,37,2026-01-26T09:09:58Z,,0,Copilot-edited files get out of sync with code editor,8308,"
Type: <b>Bug</b>

In a dev container, run a lengthy Copilot agent mode task that requires creating ...",open,Issue,290304,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290301,,2026-01-25T23:45:37Z,VillainsRule,38,2026-01-26T00:43:00Z,,0,Created date is the same as lastmod date when editing a file,539,"Does this issue occur when all extensions are disabled?: Yes

Steps to Reproduce:

1. edit a file in...",open,Issue,290301,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290300,,2026-01-25T23:42:09Z,Cruiz0605,39,2026-01-26T00:43:02Z,triage-needed,1,code space not loading,372,Code space won't load it keeps saying it's currently in recovery mode. I have tried different comput...,open,Issue,290300,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290297,,2026-01-25T22:33:39Z,mpoulton49,40,2026-01-25T22:35:06Z,"info-needed, triage-needed, new release",3,initialises an MCP then doesnt action the request,360,"
Type: <b>Bug</b>

vercel/next-dev-tools MCP installed
ask agent for ui related updates.
agent init'...",open,Issue,290297,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290296,,2026-01-25T22:24:35Z,rwoll,41,2026-01-25T22:25:38Z,bug,1,tool selection quickpick dissapears on scroll,625,"<!-- Please search existing issues to avoid creating duplicates -->
<!-- Please attach logs to help ...",open,Issue,290296,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290295,,2026-01-25T22:11:50Z,nahiaahmad,42,2026-01-25T22:13:27Z,"info-needed, triage-needed",2,COPILOT Caude Opus 4.5,2395,"
Type: <b>Bug</b>

this copilot is a waste og energy money and time, put you in a loop for day and d...",open,Issue,290295,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290293,,2026-01-25T21:32:30Z,chrmarti,43,2026-01-25T21:34:41Z,,0,Chat: Don't jump on first change,9326,"
Type: <b>Bug</b>

When I continue browsing or reviewing the code, the jumping to the first change w...",open,Issue,290293,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290290,,2026-01-25T20:11:45Z,digitarald,44,2026-01-25T20:11:46Z,"feature-request, chat-prompts",2,Agent Skill: Allow users to enable/disable specific skills,400,"Useful to quickly install more skills and explore them, but disabling them when they get in the way....",open,Issue,290290,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290283,,2026-01-25T19:19:31Z,indrayoku3-debug,45,2026-01-25T19:20:49Z,"info-needed, triage-needed, ai-translated",3,pelit,2035,"
Type: <b>Bug</b>

pelit banget jadi copilot

Extension version: 0.36.2
VS Code version: Code 1.108....",open,Issue,290283,2026-01-26T20:07:41.045897,3,1
https://github.com/microsoft/vscode/issues/290274,,2026-01-25T17:51:24Z,roblourens,46,2026-01-25T18:03:45Z,,0,Just scrolling around creates a lot of TextModels,6536,"- Have a stopped chat session with some edits
- Scroll around
- As codeblock edit pills are rendered...",open,Issue,290274,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290272,,2026-01-25T17:17:36Z,theReynald,47,2026-01-25T18:26:06Z,,0,Skill changes in skill.md don’t apply until VS Code restart or new chat session,7946,"
Type: <b>Bug</b>

Description

After editing and saving skill.md, running the skill again in the sa...",open,Issue,290272,2026-01-26T20:07:41.045897,5,1
https://github.com/microsoft/vscode/issues/290271,,2026-01-25T16:24:42Z,M-FAHEEM-2023,48,2026-01-26T07:47:42Z,"info-needed, triage-needed, new release",3,copilot hhave not propore work it,2077,"
Type: <b>Bug</b>

beccous i am student to develop the tool the github have not wprking it

Extensio...",open,Issue,290271,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290270,,2026-01-25T16:24:41Z,codingU4EA,49,2026-01-26T11:00:33Z,"feature-request, terminal, layout",3,Add 2 more buttons to improve the toggle of Panel Sizes,1569,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,290270,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290269,,2026-01-25T16:11:18Z,theReynald,50,2026-01-26T10:43:08Z,new release,1,"Unify Skills plus other Copilot customization file formats into a single “metafile” (i.e. prompts, instructions, agents, skills)",3290,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,290269,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290268,,2026-01-25T16:09:15Z,softbryanorg-star,51,2026-01-25T16:12:10Z,new release,1,i have an issue,2200,"
Type: <b>Bug</b>

i have installed copilot on my windows system and i am signed in to git hub yet c...",open,Issue,290268,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290267,,2026-01-25T15:38:00Z,Rolanddoda,52,2026-01-25T16:34:59Z,new release,1,Popup for Google model,28341,"
Type: <b>Bug</b>

Honestly I don't know but the Popup for the Google model isn't opening. I probabl...",open,Issue,290267,2026-01-26T20:07:41.045897,3,1
https://github.com/microsoft/vscode/issues/290266,,2026-01-25T14:53:17Z,hediet,53,2026-01-25T21:59:23Z,feature-request,1,Need a way to inspect every tool call to understand how the LLM operates / what bugs the tools have,351,"The current log view is not sufficient.

This shouln't be for debugging, but for understanding the t...",open,Issue,290266,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290264,,2026-01-25T14:33:41Z,pculligan,54,2026-01-25T14:35:10Z,new release,1,Cannot Use OpenAI from Copilot Chat,1622,"<!-- Please search existing issues to avoid creating duplicates -->
<!-- Please attach logs to help ...",open,Issue,290264,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290263,,2026-01-25T14:32:40Z,gdfbsgs,55,2026-01-25T15:10:40Z,new release,1,doesnt start at all,2127,"
Type: <b>Bug</b>

Chat took too long to get ready. Please ensure you are signed in to GitHub and th...",open,Issue,290263,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290256,,2026-01-25T14:29:49Z,wallimhammami10-ui,56,2026-01-25T14:31:16Z,"info-needed, triage-needed, new release",3,kdzbc,2560,"
Type: <b>Bug</b>

ne travaile pas slvp

Extension version: 1.388.0
VS Code version: Code 1.108.2 (c...",open,Issue,290256,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290255,,2026-01-25T14:18:48Z,willianfco,57,2026-01-25T14:20:14Z,ai-translated,1,Nao processa request,2084,"
Type: <b>Bug</b>

Eu solicitei uma legenda para uma imagem e ele retornou erro 413, a imagem é rela...",open,Issue,290255,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290254,,2026-01-25T13:29:13Z,Weijiang-Xiong,58,2026-01-25T14:35:29Z,,0,Separate copilot inline suggestions from chat,1079,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,290254,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290251,,2026-01-25T12:34:11Z,praneethpaavan,59,2026-01-25T12:35:36Z,"info-needed, triage-needed, new release",3,more recommendations,2862,"
Type: <b>Bug</b>

try to give simple recommendations


VS Code version: Code 1.108.2 (c9d77990917f3...",open,Issue,290251,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290250,,2026-01-25T11:54:31Z,hediet,60,2026-01-26T05:43:22Z,bug,1,Allo edits to sensitive files doesn't remember choice,155,"<img width=""518"" height=""463"" alt=""Image"" src=""https://github.com/user-attachments/assets/ca01cbb9-3...",open,Issue,290250,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290247,,2026-01-25T10:47:43Z,AshutoshDongaonkar,61,2026-01-26T10:04:06Z,"info-needed, new release",2,Instructions not followed,5424,"
Type: <b>Bug</b>

Here are the instructions - this analysis is absolutely false and carry no value....",open,Issue,290247,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290246,,2026-01-25T10:20:34Z,letmaik,62,2026-01-25T10:21:31Z,,0,"UI broken for long ""Allow edits to sensitive files"" content",562,"<!-- Please search existing issues to avoid creating duplicates -->
<!-- Please attach logs to help ...",open,Issue,290246,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290244,,2026-01-25T09:28:50Z,saimrudulaboddeda-a11y,63,2026-01-25T10:11:00Z,new release,1,terminal launch transport time exception,2588,"
Type: <b>Bug</b>

terminal launch transport time issue

VS Code version: Code 1.108.2 (c9d77990917f...",open,Issue,290244,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290243,,2026-01-25T09:23:54Z,bpasero,64,2026-01-25T15:48:45Z,"bug, chat-claude-agent",2,Claude sessions: fill in more sessions property,457,https://github.com/microsoft/vscode-copilot-chat/blob/beb172e73ae347bf9a290396711fa3a85dda6064/src/e...,open,Issue,290243,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290241,,2026-01-25T09:07:52Z,bpasero,65,2026-01-25T10:10:48Z,testplan-item,1,Test: agent sessions management window,907,"Refs: <!-- Refer to the issue that this test plan item is testing. -->

- [ ] anyOS
- [ ] anyOS

Com...",open,Issue,290241,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290240,,2026-01-25T09:04:21Z,asmrtfm,66,2026-01-25T09:15:56Z,triage-needed,1,editor.find should be case-sensitive by default or allow configuring,548,"There is no such thing as a case-insensitive programming language.
It is extremely annoying (and dan...",open,Issue,290240,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290239,,2026-01-25T09:03:15Z,bpasero,67,2026-01-25T09:04:28Z,testplan-item,1,Test: active/history chat session view,771,"Refs: <!-- Refer to the issue that this test plan item is testing. -->

- [ ] anyOS
- [ ] anyOS

Com...",open,Issue,290239,2026-01-26T20:07:41.045897,0,1
