Fork时间,Stars数,主页,仓库名,序号,所有者,推送时间,描述,是否私有,更新时间,获取时间,语言,页码
2026-02-04T03:41:50Z,0,https://github.com/YuhongZeng/vscode,YuhongZeng/vscode,1,YuhongZeng,2026-02-04T03:38:31Z,Visual Studio Code,False,2026-02-04T03:41:50Z,2026-02-04T11:50:57.694308,,1
2026-02-04T03:32:42Z,0,https://github.com/GuanJD/vscode,GuanJD/vscode,2,GuanJD,2026-02-04T02:52:04Z,Visual Studio Code,False,2026-02-04T03:32:43Z,2026-02-04T11:50:57.694338,,1
2026-02-04T01:00:20Z,0,https://github.com/EmrecanKaracayir/vscode,EmrecanKaracayir/vscode,3,EmrecanKaracayir,2026-02-04T01:35:59Z,Visual Studio Code,False,2026-02-04T01:36:08Z,2026-02-04T11:50:57.694345,TypeScript,1
2026-02-03T23:19:50Z,0,https://github.com/Harshdeepplaha/vscode,Harshdeepplaha/vscode,4,Harshdeepplaha,2026-02-03T23:18:08Z,Visual Studio Code,False,2026-02-03T23:19:50Z,2026-02-04T11:50:57.694349,,1
2026-02-03T22:14:15Z,0,https://github.com/Jerad551/vscode,Jerad551/vscode,5,Jerad551,2026-02-03T22:15:27Z,Visual Studio Code,False,2026-02-03T22:16:22Z,2026-02-04T11:50:57.694353,TypeScript,1
2026-02-03T22:10:49Z,0,https://github.com/rifont/vscode,rifont/vscode,6,rifont,2026-02-03T21:57:55Z,Visual Studio Code,False,2026-02-03T22:10:50Z,2026-02-04T11:50:57.694358,,1
2026-02-03T21:10:47Z,0,https://github.com/titan0115/one_code,titan0115/one_code,7,titan0115,2026-02-03T21:10:08Z,,False,2026-02-03T21:10:47Z,2026-02-04T11:50:57.694362,,1
2026-02-03T20:10:49Z,1,https://github.com/Devpmdsoftware/vscode,Devpmdsoftware/vscode,8,Devpmdsoftware,2026-02-03T20:02:55Z,Visual Studio Code,False,2026-02-03T20:11:03Z,2026-02-04T11:50:57.694375,,1
2026-02-03T19:08:40Z,0,https://github.com/devkpi-io/vscode,devkpi-io/vscode,9,devkpi-io,2026-02-03T19:08:19Z,Visual Studio Code,False,2026-02-03T19:08:40Z,2026-02-04T11:50:57.694379,,1
2026-02-03T18:46:55Z,1,https://github.com/ttumphimait-cloud/Torny88,ttumphimait-cloud/Torny88,10,ttumphimait-cloud,2026-02-03T18:34:32Z,Visual Studio Code,False,2026-02-03T18:47:38Z,2026-02-04T11:50:57.694384,,1
2026-02-03T17:59:06Z,0,https://github.com/tharun-byl/vscode,tharun-byl/vscode,11,tharun-byl,2026-02-03T17:56:54Z,Visual Studio Code,False,2026-02-03T17:59:06Z,2026-02-04T11:50:57.694387,,1
2026-02-03T17:57:58Z,0,https://github.com/dev-intelig/vscode,dev-intelig/vscode,12,dev-intelig,2026-02-03T17:56:54Z,Visual Studio Code,False,2026-02-03T17:57:58Z,2026-02-04T11:50:57.694391,,1
2026-02-03T17:53:46Z,0,https://github.com/podkolzzzin/vscode,podkolzzzin/vscode,13,podkolzzzin,2026-02-03T17:53:29Z,Visual Studio Code,False,2026-02-03T17:53:46Z,2026-02-04T11:50:57.694395,,1
2026-02-03T15:53:24Z,0,https://github.com/AravindS2006/vscode,AravindS2006/vscode,14,AravindS2006,2026-02-03T15:52:57Z,Visual Studio Code,False,2026-02-03T15:53:24Z,2026-02-04T11:50:57.694399,,1
2026-02-03T15:26:39Z,0,https://github.com/kaankadirkilic/vscode,kaankadirkilic/vscode,15,kaankadirkilic,2026-02-03T15:17:43Z,Visual Studio Code,False,2026-02-03T15:26:40Z,2026-02-04T11:50:57.694403,,1
2026-02-03T14:49:49Z,0,https://github.com/alexsterling-dev/vscode,alexsterling-dev/vscode,16,alexsterling-dev,2026-02-03T14:44:56Z,Visual Studio Code,False,2026-02-03T14:49:49Z,2026-02-04T11:50:57.694407,,1
2026-02-03T14:47:23Z,0,https://github.com/andyosyndoh/vscode,andyosyndoh/vscode,17,andyosyndoh,2026-02-03T14:44:56Z,Visual Studio Code,False,2026-02-03T14:47:23Z,2026-02-04T11:50:57.694411,,1
2026-02-03T14:15:10Z,1,https://github.com/18-RAJAT/vscode,18-RAJAT/vscode,18,18-RAJAT,2026-02-03T17:13:20Z,Visual Studio Code,False,2026-02-03T14:29:16Z,2026-02-04T11:50:57.694415,,1
2026-02-03T13:35:05Z,0,https://github.com/yaogh99123/vscode,yaogh99123/vscode,19,yaogh99123,2026-02-03T13:35:01Z,Visual Studio Code,False,2026-02-03T13:35:05Z,2026-02-04T11:50:57.694419,,1
2026-02-03T12:29:41Z,0,https://github.com/ammned/vscode,ammned/vscode,20,ammned,2026-02-03T11:46:15Z,Visual Studio Code,False,2026-02-03T12:29:41Z,2026-02-04T11:50:57.694422,,1
2026-02-03T12:27:36Z,0,https://github.com/aturzone/vscode,aturzone/vscode,21,aturzone,2026-02-03T15:15:44Z,Visual Studio Code,False,2026-02-03T12:27:36Z,2026-02-04T11:50:57.694426,,1
2026-02-03T11:02:13Z,0,https://github.com/Dajda2371/idlecode,Dajda2371/idlecode,22,Dajda2371,2026-02-03T12:22:14Z,Visual Studio Code Fork that looks like IDLE,False,2026-02-03T11:02:13Z,2026-02-04T11:50:57.694430,,1
2026-02-03T10:19:29Z,0,https://github.com/armyknife-tools/vscode,armyknife-tools/vscode,23,armyknife-tools,2026-02-03T10:16:56Z,Visual Studio Code,False,2026-02-03T10:19:29Z,2026-02-04T11:50:57.694433,,1
2026-02-03T10:11:34Z,0,https://github.com/shireesha925/vscode,shireesha925/vscode,24,shireesha925,2026-02-03T10:08:36Z,Visual Studio Code,False,2026-02-03T10:11:35Z,2026-02-04T11:50:57.694437,,1
2026-02-03T09:12:45Z,0,https://github.com/DRawson5570/vscode,DRawson5570/vscode,25,DRawson5570,2026-02-03T09:10:22Z,Visual Studio Code,False,2026-02-03T09:12:45Z,2026-02-04T11:50:57.694441,,1
2026-02-03T08:39:48Z,0,https://github.com/federicobrancasi/vscode,federicobrancasi/vscode,26,federicobrancasi,2026-02-03T08:38:01Z,Visual Studio Code,False,2026-02-03T08:39:48Z,2026-02-04T11:50:57.694446,,1
2026-02-03T08:25:36Z,0,https://github.com/zhanghaoyu258/vscode,zhanghaoyu258/vscode,27,zhanghaoyu258,2026-02-03T08:24:39Z,Visual Studio Code,False,2026-02-03T08:25:36Z,2026-02-04T11:50:57.694452,,1
2026-02-03T07:50:17Z,0,https://github.com/firaolkiya/vscode,firaolkiya/vscode,28,firaolkiya,2026-02-03T07:34:00Z,Visual Studio Code,False,2026-02-03T07:50:17Z,2026-02-04T11:50:57.694459,,1
2026-02-03T06:20:50Z,0,https://github.com/minirang/vscode,minirang/vscode,29,minirang,2026-02-03T06:20:13Z,Visual Studio Code,False,2026-02-03T06:20:50Z,2026-02-04T11:50:57.694463,,1
2026-02-03T03:57:30Z,0,https://github.com/stolenlife2/vscode,stolenlife2/vscode,30,stolenlife2,2026-02-03T04:06:03Z,Visual Studio Code,False,2026-02-03T10:30:31Z,2026-02-04T11:50:57.694468,,1
2026-02-03T03:27:58Z,0,https://github.com/kilolumen/vscode,kilolumen/vscode,31,kilolumen,2026-02-03T03:20:50Z,Visual Studio Code,False,2026-02-03T03:27:58Z,2026-02-04T11:50:57.694472,,1
2026-02-03T02:38:14Z,0,https://github.com/EU-UNION-AI-PACT/vscode,EU-UNION-AI-PACT/vscode,32,EU-UNION-AI-PACT,2026-02-03T02:18:29Z,Visual Studio Code,False,2026-02-03T02:38:14Z,2026-02-04T11:50:57.694476,,1
2026-02-03T02:20:24Z,0,https://github.com/NewBird201801004120/vscode,NewBird201801004120/vscode,33,NewBird201801004120,2026-02-03T02:18:29Z,Visual Studio Code,False,2026-02-03T02:20:24Z,2026-02-04T11:50:57.694481,,1
2026-02-03T02:15:46Z,0,https://github.com/zang219312/vscode,zang219312/vscode,34,zang219312,2026-02-03T02:09:52Z,Visual Studio Code,False,2026-02-03T02:15:46Z,2026-02-04T11:50:57.694485,,1
2026-02-03T01:06:30Z,0,https://github.com/enuq0/vscode,enuq0/vscode,35,enuq0,2026-02-03T01:05:46Z,Visual Studio Code,False,2026-02-03T01:06:30Z,2026-02-04T11:50:57.694490,,1
2026-02-03T00:22:43Z,0,https://github.com/AceS19104/vscode,AceS19104/vscode,36,AceS19104,2026-02-03T00:21:03Z,Visual Studio Code,False,2026-02-03T00:22:43Z,2026-02-04T11:50:57.694494,,1
2026-02-03T00:20:27Z,0,https://github.com/BeckHaru/beckyvscode,BeckHaru/beckyvscode,37,BeckHaru,2026-02-03T00:19:03Z,Visual Studio Code,False,2026-02-03T00:20:27Z,2026-02-04T11:50:57.694498,,1
2026-02-02T22:20:30Z,0,https://github.com/S-Matsoso/vscode,S-Matsoso/vscode,38,S-Matsoso,2026-02-02T21:50:46Z,Visual Studio Code,False,2026-02-02T22:20:30Z,2026-02-04T11:50:57.694501,,1
2026-02-02T20:55:37Z,0,https://github.com/krisbiradar/vscode,krisbiradar/vscode,39,krisbiradar,2026-02-03T20:38:28Z,Visual Studio Code,False,2026-02-02T20:55:37Z,2026-02-04T11:50:57.694505,,1
2026-02-02T19:20:21Z,0,https://github.com/akgamerz790/OurCode,akgamerz790/OurCode,40,akgamerz790,2026-02-02T19:17:06Z,Our Studio Code,False,2026-02-02T19:20:21Z,2026-02-04T11:50:57.694509,,1
2026-02-02T19:05:05Z,0,https://github.com/Druid83/vscode,Druid83/vscode,41,Druid83,2026-02-02T22:36:29Z,Visual Studio Code,False,2026-02-02T22:37:03Z,2026-02-04T11:50:57.694513,TypeScript,1
2026-02-02T17:37:56Z,1,https://github.com/dofaromg/Mrliou_vscode,dofaromg/Mrliou_vscode,42,dofaromg,2026-02-02T17:36:12Z,Visual Studio Code,False,2026-02-02T17:38:10Z,2026-02-04T11:50:57.694516,,1
2026-02-02T17:32:59Z,0,https://github.com/MohanKumarAmbati/vscode,MohanKumarAmbati/vscode,43,MohanKumarAmbati,2026-02-02T17:25:35Z,Visual Studio Code,False,2026-02-02T17:32:59Z,2026-02-04T11:50:57.694521,,1
2026-02-02T16:42:05Z,0,https://github.com/nguyenblacks/vscode,nguyenblacks/vscode,44,nguyenblacks,2026-02-02T16:37:54Z,Visual Studio Code,False,2026-02-02T16:42:05Z,2026-02-04T11:50:57.694524,,1
2026-02-02T15:30:22Z,0,https://github.com/xhybridnax/vscode,xhybridnax/vscode,45,xhybridnax,2026-02-02T15:17:39Z,Visual Studio Code,False,2026-02-02T15:30:22Z,2026-02-04T11:50:57.694528,,1
2026-02-02T12:50:59Z,0,https://github.com/timbasel/vscode,timbasel/vscode,46,timbasel,2026-02-02T12:12:15Z,Visual Studio Code,False,2026-02-02T12:51:00Z,2026-02-04T11:50:57.694532,,1
2026-02-02T11:34:14Z,0,https://github.com/Jkense/vscode,Jkense/vscode,47,Jkense,2026-02-03T08:08:08Z,Visual Studio Code,False,2026-02-03T08:08:44Z,2026-02-04T11:50:57.694536,TypeScript,1
2026-02-02T10:39:24Z,0,https://github.com/rennf93/rencode,rennf93/rencode,48,rennf93,2026-02-02T10:38:58Z,Visual Studio Code,False,2026-02-02T10:39:24Z,2026-02-04T11:50:57.694544,,1
2026-02-02T10:28:43Z,1,https://github.com/filipapbt-cmyk/vscode,filipapbt-cmyk/vscode,49,filipapbt-cmyk,2026-02-02T10:25:10Z,Visual Studio Code,False,2026-02-03T11:31:22Z,2026-02-04T11:50:57.694548,,1
2026-02-02T09:24:05Z,0,https://github.com/itskundan-01/vscode,itskundan-01/vscode,50,itskundan-01,2026-02-02T14:05:23Z,Visual Studio Code,False,2026-02-02T09:24:05Z,2026-02-04T11:50:57.694551,,1
2026-02-02T08:44:25Z,0,https://github.com/lKGreat/vscode,lKGreat/vscode,51,lKGreat,2026-02-02T08:27:13Z,Visual Studio Code,False,2026-02-02T08:44:25Z,2026-02-04T11:50:57.694556,,1
2026-02-02T08:38:57Z,0,https://github.com/dammitpogi/vscode,dammitpogi/vscode,52,dammitpogi,2026-02-02T08:27:13Z,Visual Studio Code,False,2026-02-02T08:38:57Z,2026-02-04T11:50:57.694560,,1
2026-02-02T07:24:22Z,0,https://github.com/xbyzzZ/xbycoder,xbyzzZ/xbycoder,53,xbyzzZ,2026-02-02T04:52:19Z,Visual Studio Code,False,2026-02-02T07:24:22Z,2026-02-04T11:50:57.694565,,1
2026-02-02T07:16:59Z,0,https://github.com/stormerbo/vscode,stormerbo/vscode,54,stormerbo,2026-02-02T04:52:19Z,Visual Studio Code,False,2026-02-02T07:16:59Z,2026-02-04T11:50:57.694569,,1
2026-02-02T06:02:42Z,0,https://github.com/shanmukhram/IRA-ide,shanmukhram/IRA-ide,55,shanmukhram,2026-02-02T08:49:13Z,Visual Studio Code,False,2026-02-02T08:49:22Z,2026-02-04T11:50:57.694574,TypeScript,1
2026-02-02T03:07:37Z,0,https://github.com/unkaisekkei/vscode,unkaisekkei/vscode,56,unkaisekkei,2026-02-02T07:25:22Z,Visual Studio Code,False,2026-02-02T07:25:56Z,2026-02-04T11:50:57.694579,TypeScript,1
2026-02-02T00:16:47Z,0,https://github.com/haanhtam51-sys/vscode,haanhtam51-sys/vscode,57,haanhtam51-sys,2026-02-02T00:01:55Z,Visual Studio Code,False,2026-02-02T00:16:47Z,2026-02-04T11:50:57.694582,,1
2026-02-01T22:51:27Z,0,https://github.com/ademhatay/core-code,ademhatay/core-code,58,ademhatay,2026-02-01T22:55:03Z,"No AI, No LLM. Just Code | Core Code",False,2026-02-01T22:51:27Z,2026-02-04T11:50:57.694586,,1
2026-02-01T20:26:59Z,0,https://github.com/shantanusharma/vscode,shantanusharma/vscode,59,shantanusharma,2026-02-01T20:15:37Z,Visual Studio Code,False,2026-02-01T20:26:59Z,2026-02-04T11:50:57.694590,,1
2026-02-01T19:29:01Z,0,https://github.com/chombakelvin47-star/vscode,chombakelvin47-star/vscode,60,chombakelvin47-star,2026-02-01T18:45:57Z,Create a valentine's questionnaire which has the options Yes or No ,False,2026-02-01T19:29:01Z,2026-02-04T11:50:57.694594,,1
2026-02-01T19:25:30Z,0,https://github.com/xdeadl0ck/vscode,xdeadl0ck/vscode,61,xdeadl0ck,2026-02-01T18:45:57Z,Visual Studio Code,False,2026-02-01T19:25:30Z,2026-02-04T11:50:57.694598,,1
2026-02-01T19:21:01Z,0,https://github.com/enegalan/codium-app,enegalan/codium-app,62,enegalan,2026-02-02T18:52:05Z,"Codium App is a native desktop application that ports the Visual Studio Code experience into a standalone app, preserving full editor functionality wi",False,2026-02-02T18:52:43Z,2026-02-04T11:50:57.694601,TypeScript,1
2026-02-01T18:01:54Z,0,https://github.com/AmmarHasan/vscode,AmmarHasan/vscode,63,AmmarHasan,2026-02-01T16:57:03Z,Visual Studio Code,False,2026-02-01T18:01:54Z,2026-02-04T11:50:57.694606,,1
2026-02-01T16:47:36Z,0,https://github.com/yesIce/vscode,yesIce/vscode,64,yesIce,2026-02-01T16:44:05Z,Visual Studio Code,False,2026-02-01T16:47:36Z,2026-02-04T11:50:57.694610,,1
2026-02-01T15:17:57Z,0,https://github.com/domgetter/vscode,domgetter/vscode,65,domgetter,2026-02-01T15:19:12Z,Visual Studio Code,False,2026-02-01T15:17:58Z,2026-02-04T11:50:57.694614,,1
2026-02-01T14:43:06Z,0,https://github.com/navneet102/vscode,navneet102/vscode,66,navneet102,2026-02-01T14:06:25Z,Visual Studio Code,False,2026-02-01T14:43:06Z,2026-02-04T11:50:57.694618,,1
2026-02-01T14:09:26Z,1,https://github.com/riu222/vscode-Insiders,riu222/vscode-Insiders,67,riu222,2026-02-01T14:06:25Z,Visual Studio Code - OS,False,2026-02-01T14:09:35Z,2026-02-04T11:50:57.694622,,1
2026-02-01T13:51:23Z,0,https://github.com/Christiane-tech/letscode,Christiane-tech/letscode,68,Christiane-tech,2026-02-01T10:59:58Z,Visual Studio Code,False,2026-02-01T13:51:23Z,2026-02-04T11:50:57.694626,,1
2026-02-01T12:16:57Z,0,https://github.com/ssigestor/codebr,ssigestor/codebr,69,ssigestor,2026-02-01T10:59:58Z,CodeBr,False,2026-02-01T12:16:57Z,2026-02-04T11:50:57.694629,,1
2026-02-01T11:42:18Z,0,https://github.com/matoscmanceron-collab/vscode,matoscmanceron-collab/vscode,70,matoscmanceron-collab,2026-02-01T10:59:58Z,Visual Studio Code,False,2026-02-01T11:42:19Z,2026-02-04T11:50:57.694633,,1
2026-02-01T11:41:31Z,0,https://github.com/gitfinder-win/vscode,gitfinder-win/vscode,71,gitfinder-win,2026-02-01T10:59:58Z,Visual Studio Code,False,2026-02-01T11:41:31Z,2026-02-04T11:50:57.694637,,1
2026-02-01T10:46:59Z,0,https://github.com/2001piyush/vscode,2001piyush/vscode,72,2001piyush,2026-02-01T09:00:38Z,Visual Studio Code,False,2026-02-01T10:46:59Z,2026-02-04T11:50:57.694640,,1
2026-02-01T10:23:04Z,0,https://github.com/rvmxxn/vscode,rvmxxn/vscode,73,rvmxxn,2026-02-01T09:00:38Z,Visual Studio Code,False,2026-02-01T10:23:04Z,2026-02-04T11:50:57.694644,,1
2026-02-01T09:24:04Z,0,https://github.com/ragini-pandey/vscode,ragini-pandey/vscode,74,ragini-pandey,2026-02-01T09:00:38Z,Visual Studio Code,False,2026-02-01T09:24:04Z,2026-02-04T11:50:57.694647,,1
2026-02-01T09:09:17Z,0,https://github.com/ajihyf/kyubi,ajihyf/kyubi,75,ajihyf,2026-02-03T15:03:30Z,Visual Studio Code,False,2026-02-03T15:05:18Z,2026-02-04T11:50:57.694652,TypeScript,1
2026-02-01T06:56:50Z,0,https://github.com/stephschofield/vscode,stephschofield/vscode,76,stephschofield,2026-02-01T08:44:39Z,Visual Studio Code,False,2026-02-01T08:45:10Z,2026-02-04T11:50:57.694656,TypeScript,1
2026-02-01T06:45:30Z,0,https://github.com/njg7194/vscode,njg7194/vscode,77,njg7194,2026-02-01T06:31:13Z,Visual Studio Code,False,2026-02-01T06:45:30Z,2026-02-04T11:50:57.694659,,1
2026-02-01T06:21:39Z,0,https://github.com/pablostestorg/vscode,pablostestorg/vscode,78,pablostestorg,2026-02-01T05:13:52Z,Visual Studio Code,False,2026-02-01T06:21:39Z,2026-02-04T11:50:57.694664,,1
2026-02-01T04:06:38Z,3,https://github.com/aka-1976/vscode,aka-1976/vscode,79,aka-1976,2026-02-03T18:26:28Z,Visual Studio Code,False,2026-02-03T18:28:34Z,2026-02-04T11:50:57.694668,TypeScript,1
2026-02-01T02:04:09Z,0,https://github.com/a330222803/vscode,a330222803/vscode,80,a330222803,2026-01-31T23:34:15Z,Visual Studio Code,False,2026-02-01T02:04:09Z,2026-02-04T11:50:57.694672,,1
2026-01-31T23:44:09Z,0,https://github.com/Afrojack19/vscode,Afrojack19/vscode,81,Afrojack19,2026-01-31T23:34:15Z,Visual Studio Code,False,2026-01-31T23:44:10Z,2026-02-04T11:50:57.694675,,1
2026-01-31T22:29:46Z,0,https://github.com/Nkumar041/vscode-p,Nkumar041/vscode-p,82,Nkumar041,2026-01-31T20:52:29Z,"vscode fork, personalized",False,2026-01-31T22:29:46Z,2026-02-04T11:50:57.694679,,1
2026-01-31T22:14:49Z,0,https://github.com/Andrew199617/vscode,Andrew199617/vscode,83,Andrew199617,2026-01-31T22:40:05Z,Visual Studio Code,False,2026-01-31T22:14:49Z,2026-02-04T11:50:57.694684,,1
2026-01-31T21:46:51Z,0,https://github.com/xue-cai/vscode,xue-cai/vscode,84,xue-cai,2026-02-01T01:41:32Z,Visual Studio Code,False,2026-01-31T21:46:51Z,2026-02-04T11:50:57.694687,,1
2026-01-31T20:33:36Z,0,https://github.com/chuck-polaris/vscode,chuck-polaris/vscode,85,chuck-polaris,2026-01-31T20:01:12Z,Visual Studio Code,False,2026-01-31T20:33:37Z,2026-02-04T11:50:57.694691,,1
2026-01-31T20:04:13Z,0,https://github.com/Java-Cup/kaffeine-code,Java-Cup/kaffeine-code,86,Java-Cup,2026-01-31T20:01:12Z,This project is under development well add some stuff in the future *31.1.2026,False,2026-01-31T20:04:13Z,2026-02-04T11:50:57.694694,,1
2026-01-31T19:33:31Z,0,https://github.com/riccardobellanca/vscode,riccardobellanca/vscode,87,riccardobellanca,2026-01-31T16:33:28Z,Visual Studio Code,False,2026-01-31T19:33:31Z,2026-02-04T11:50:57.694699,,1
2026-01-31T16:38:01Z,0,https://github.com/Nick040791/LCL-IDE,Nick040791/LCL-IDE,88,Nick040791,2026-01-31T17:00:36Z,Visual Studio Code fork for my custom use cases,False,2026-01-31T16:38:01Z,2026-02-04T11:50:57.694706,,1
2026-01-31T13:54:25Z,0,https://github.com/pascke/vscode,pascke/vscode,89,pascke,2026-01-31T13:38:01Z,Visual Studio Code,False,2026-01-31T13:54:25Z,2026-02-04T11:50:57.694709,,1
2026-01-31T11:20:51Z,0,https://github.com/Ahmed31107/AAAS44554BN.,Ahmed31107/AAAS44554BN.,90,Ahmed31107,2026-01-31T12:32:06Z,111,False,2026-01-31T12:37:51Z,2026-02-04T11:50:57.694713,TypeScript,1
2026-01-31T10:41:04Z,0,https://github.com/sojan-webyfy/vscode,sojan-webyfy/vscode,91,sojan-webyfy,2026-01-31T10:39:59Z,Visual Studio Code improve,False,2026-01-31T10:41:04Z,2026-02-04T11:50:57.694717,,1
2026-01-31T10:13:25Z,0,https://github.com/jacksonkrisliu/vscode,jacksonkrisliu/vscode,92,jacksonkrisliu,2026-01-31T08:50:07Z,Visual Studio Code,False,2026-01-31T10:13:25Z,2026-02-04T11:50:57.694720,,1
2026-01-31T08:59:44Z,0,https://github.com/tamerlanogo-art/vscode,tamerlanogo-art/vscode,93,tamerlanogo-art,2026-01-31T08:50:07Z,Visual Studio Code,False,2026-01-31T08:59:44Z,2026-02-04T11:50:57.694724,,1
2026-01-31T05:33:00Z,0,https://github.com/DomnicAmalan/vscode,DomnicAmalan/vscode,94,DomnicAmalan,2026-01-31T04:47:14Z,Visual Studio Code,False,2026-01-31T05:33:00Z,2026-02-04T11:50:57.694728,,1
2026-01-31T05:16:46Z,0,https://github.com/AlbertFan0918/vscode,AlbertFan0918/vscode,95,AlbertFan0918,2026-01-31T04:47:14Z,Visual Studio Code,False,2026-01-31T05:16:46Z,2026-02-04T11:50:57.694731,,1
2026-01-31T01:44:21Z,0,https://github.com/udjamaflip/vscode,udjamaflip/vscode,96,udjamaflip,2026-01-31T01:19:40Z,Visual Studio Code,False,2026-01-31T01:44:21Z,2026-02-04T11:50:57.694735,,1
2026-01-31T01:03:31Z,0,https://github.com/MrgSub/vscode,MrgSub/vscode,97,MrgSub,2026-01-31T01:00:38Z,Visual Studio Code,False,2026-01-31T01:03:31Z,2026-02-04T11:50:57.694738,,1
2026-01-31T00:28:43Z,0,https://github.com/andysharman/vscode,andysharman/vscode,98,andysharman,2026-01-31T00:12:50Z,Visual Studio Code,False,2026-01-31T00:28:43Z,2026-02-04T11:50:57.694742,,1
2026-01-31T00:23:57Z,0,https://github.com/notkainoa/vscode,notkainoa/vscode,99,notkainoa,2026-01-31T00:12:50Z,Visual Studio Code,False,2026-01-31T00:23:57Z,2026-02-04T11:50:57.694745,,1
2026-01-30T22:45:12Z,0,https://github.com/astranero/vscode,astranero/vscode,100,astranero,2026-01-30T22:39:27Z,Visual Studio Code,False,2026-01-30T22:45:12Z,2026-02-04T11:50:57.694749,,1
